Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Periodo,Total,Provincias_Cod,Año,Mes,Total_scaled
Total Nacional,06 Cantabria,39 Cantabria,2024-02-01,1.81,39,2024,2,0.35173824130879344
Total Nacional,06 Cantabria,39 Cantabria,2023-08-01,1.8,39,2023,8,0.3496932515337423
Total Nacional,06 Cantabria,39 Cantabria,2023-02-01,1.59,39,2023,2,0.30674846625766866
Total Nacional,06 Cantabria,39 Cantabria,2022-08-01,1.75,39,2022,8,0.33946830265848665
Total Nacional,06 Cantabria,39 Cantabria,2022-02-01,1.35,39,2022,2,0.2576687116564417
Total Nacional,06 Cantabria,39 Cantabria,2021-08-01,1.5,39,2021,8,0.28834355828220853
Total Nacional,06 Cantabria,39 Cantabria,2021-02-01,1.21,39,2021,2,0.22903885480572592
Total Nacional,06 Cantabria,39 Cantabria,2020-08-01,1.36,39,2020,8,0.2597137014314928
Total Nacional,07 Castilla y León,0,2024-08-01,0.48,0,2024,8,0.07975460122699385
Total Nacional,07 Castilla y León,0,2024-02-01,0.41,0,2024,2,0.06543967280163598
Total Nacional,07 Castilla y León,0,2023-08-01,0.38,0,2023,8,0.05930470347648261
Total Nacional,07 Castilla y León,0,2023-02-01,0.36,0,2023,2,0.05521472392638036
Total Nacional,07 Castilla y León,0,2022-08-01,0.36,0,2022,8,0.05521472392638036
Total Nacional,07 Castilla y León,0,2022-02-01,0.33,0,2022,2,0.049079754601226995
Total Nacional,07 Castilla y León,0,2021-08-01,0.33,0,2021,8,0.049079754601226995
Total Nacional,07 Castilla y León,0,2021-02-01,0.31,0,2021,2,0.04498977505112473
Total Nacional,07 Castilla y León,0,2020-08-01,0.34,0,2020,8,0.05112474437627811
Total Nacional,07 Castilla y León,05 Ávila,2024-08-01,0.86,5,2024,8,0.15746421267893657
Total Nacional,07 Castilla y León,05 Ávila,2024-02-01,0.71,5,2024,2,0.1267893660531697
Total Nacional,07 Castilla y León,05 Ávila,2023-08-01,0.71,5,2023,8,0.1267893660531697
Total Nacional,07 Castilla y León,05 Ávila,2023-02-01,0.62,5,2023,2,0.10838445807770958
Total Nacional,07 Castilla y León,05 Ávila,2022-08-01,0.61,5,2022,8,0.10633946830265847
Total Nacional,07 Castilla y León,05 Ávila,2022-02-01,0.52,5,2022,2,0.08793456032719835
Total Nacional,07 Castilla y León,05 Ávila,2021-08-01,0.52,5,2021,8,0.08793456032719835
Total Nacional,07 Castilla y León,05 Ávila,2021-02-01,0.48,5,2021,2,0.07975460122699385
Total Nacional,07 Castilla y León,05 Ávila,2020-08-01,0.49,5,2020,8,0.08179959100204498
Total Nacional,07 Castilla y León,09 Burgos,2024-08-01,0.4,9,2024,8,0.06339468302658485
Total Nacional,07 Castilla y León,09 Burgos,2024-02-01,0.33,9,2024,2,0.049079754601226995
Total Nacional,07 Castilla y León,09 Burgos,2023-08-01,0.3,9,2023,8,0.042944785276073615
Total Nacional,07 Castilla y León,09 Burgos,2023-02-01,0.28,9,2023,2,0.03885480572597137
Total Nacional,07 Castilla y León,09 Burgos,2022-08-01,0.28,9,2022,8,0.03885480572597137
Total Nacional,07 Castilla y León,09 Burgos,2022-02-01,0.25,9,2022,2,0.03271983640081799
Total Nacional,07 Castilla y León,09 Burgos,2021-08-01,0.24,9,2021,8,0.030674846625766868
Total Nacional,07 Castilla y León,09 Burgos,2021-02-01,0.23,9,2021,2,0.028629856850715743
Total Nacional,07 Castilla y León,09 Burgos,2020-08-01,0.25,9,2020,8,0.03271983640081799
Total Nacional,07 Castilla y León,24 León,2024-08-01,0.45,24,2024,8,0.07361963190184048
Total Nacional,07 Castilla y León,24 León,2024-02-01,0.38,24,2024,2,0.05930470347648261
Total Nacional,07 Castilla y León,24 León,2023-08-01,0.35,24,2023,8,0.05316973415132923
Total Nacional,07 Castilla y León,24 León,2023-02-01,0.35,24,2023,2,0.05316973415132923
Total Nacional,07 Castilla y León,24 León,2022-08-01,0.35,24,2022,8,0.05316973415132923
