Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Periodo,Total,Provincias_Cod,Año,Mes,Total_scaled
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,2023-02-01,0.4,31,2023,2,0.06339468302658485
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,2022-08-01,0.4,31,2022,8,0.06339468302658485
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,2022-02-01,0.3,31,2022,2,0.042944785276073615
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,2021-08-01,0.32,31,2021,8,0.047034764826175864
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,2021-02-01,0.32,31,2021,2,0.047034764826175864
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,2020-08-01,0.35,31,2020,8,0.05316973415132923
Total Nacional,16 País Vasco,0,2024-08-01,0.54,0,2024,8,0.09202453987730061
Total Nacional,16 País Vasco,0,2024-02-01,0.48,0,2024,2,0.07975460122699385
Total Nacional,16 País Vasco,0,2023-08-01,0.48,0,2023,8,0.07975460122699385
Total Nacional,16 País Vasco,0,2023-02-01,0.43,0,2023,2,0.06952965235173822
Total Nacional,16 País Vasco,0,2022-08-01,0.46,0,2022,8,0.07566462167689161
Total Nacional,16 País Vasco,0,2022-02-01,0.39,0,2022,2,0.06134969325153374
Total Nacional,16 País Vasco,0,2021-08-01,0.43,0,2021,8,0.06952965235173822
Total Nacional,16 País Vasco,0,2021-02-01,0.39,0,2021,2,0.06134969325153374
Total Nacional,16 País Vasco,0,2020-08-01,0.45,0,2020,8,0.07361963190184048
Total Nacional,16 País Vasco,01 Araba/Álava,2024-08-01,0.24,1,2024,8,0.030674846625766868
Total Nacional,16 País Vasco,01 Araba/Álava,2024-02-01,0.21,1,2024,2,0.024539877300613494
Total Nacional,16 País Vasco,01 Araba/Álava,2023-08-01,0.19,1,2023,8,0.020449897750511245
Total Nacional,16 País Vasco,01 Araba/Álava,2023-02-01,0.21,1,2023,2,0.024539877300613494
Total Nacional,16 País Vasco,01 Araba/Álava,2022-08-01,0.21,1,2022,8,0.024539877300613494
Total Nacional,16 País Vasco,01 Araba/Álava,2022-02-01,0.18,1,2022,2,0.01840490797546012
Total Nacional,16 País Vasco,01 Araba/Álava,2021-08-01,0.21,1,2021,8,0.024539877300613494
Total Nacional,16 País Vasco,01 Araba/Álava,2021-02-01,0.19,1,2021,2,0.020449897750511245
Total Nacional,16 País Vasco,01 Araba/Álava,2020-08-01,0.21,1,2020,8,0.024539877300613494
Total Nacional,16 País Vasco,48 Bizkaia,2024-08-01,0.53,48,2024,8,0.08997955010224948
Total Nacional,16 País Vasco,48 Bizkaia,2024-02-01,0.47,48,2024,2,0.07770961145194272
Total Nacional,16 País Vasco,48 Bizkaia,2023-08-01,0.46,48,2023,8,0.07566462167689161
Total Nacional,16 País Vasco,48 Bizkaia,2023-02-01,0.39,48,2023,2,0.06134969325153374
Total Nacional,16 País Vasco,48 Bizkaia,2022-08-01,0.39,48,2022,8,0.06134969325153374
Total Nacional,16 País Vasco,48 Bizkaia,2022-02-01,0.34,48,2022,2,0.05112474437627811
Total Nacional,16 País Vasco,48 Bizkaia,2021-08-01,0.36,48,2021,8,0.05521472392638036
Total Nacional,16 País Vasco,48 Bizkaia,2021-02-01,0.34,48,2021,2,0.05112474437627811
Total Nacional,16 País Vasco,48 Bizkaia,2020-08-01,0.38,48,2020,8,0.05930470347648261
Total Nacional,16 País Vasco,20 Gipuzkoa,2024-08-01,0.71,20,2024,8,0.1267893660531697
Total Nacional,16 País Vasco,20 Gipuzkoa,2024-02-01,0.62,20,2024,2,0.10838445807770958
Total Nacional,16 País Vasco,20 Gipuzkoa,2023-08-01,0.64,20,2023,8,0.11247443762781184
Total Nacional,16 País Vasco,20 Gipuzkoa,2023-02-01,0.6,20,2023,2,0.10429447852760734
Total Nacional,16 País Vasco,20 Gipuzkoa,2022-08-01,0.7,20,2022,8,0.12474437627811857
Total Nacional,16 País Vasco,20 Gipuzkoa,2022-02-01,0.58,20,2022,2,0.10020449897750508
Total Nacional,16 País Vasco,20 Gipuzkoa,2021-08-01,0.64,20,2021,8,0.11247443762781184
Total Nacional,16 País Vasco,20 Gipuzkoa,2021-02-01,0.58,20,2021,2,0.10020449897750508
Total Nacional,16 País Vasco,20 Gipuzkoa,2020-08-01,0.68,20,2020,8,0.12065439672801634
Total Nacional,"17 Rioja, La",0,2024-08-01,0.68,0,2024,8,0.12065439672801634
Total Nacional,"17 Rioja, La",0,2024-02-01,0.62,0,2024,2,0.10838445807770958
Total Nacional,"17 Rioja, La",0,2023-08-01,0.6,0,2023,8,0.10429447852760734
Total Nacional,"17 Rioja, La",0,2023-02-01,0.56,0,2023,2,0.09611451942740287
Total Nacional,"17 Rioja, La",0,2022-08-01,0.58,0,2022,8,0.10020449897750508
Total Nacional,"17 Rioja, La",0,2022-02-01,0.53,0,2022,2,0.08997955010224948
Total Nacional,"17 Rioja, La",0,2021-08-01,0.56,0,2021,8,0.09611451942740287
Total Nacional,"17 Rioja, La",0,2021-02-01,0.53,0,2021,2,0.08997955010224948
Total Nacional,"17 Rioja, La",0,2020-08-01,0.57,0,2020,8,0.09815950920245398
Total Nacional,"17 Rioja, La","26 Rioja, La",2024-08-01,0.68,26,2024,8,0.12065439672801634
Total Nacional,"17 Rioja, La","26 Rioja, La",2024-02-01,0.62,26,2024,2,0.10838445807770958
Total Nacional,"17 Rioja, La","26 Rioja, La",2023-08-01,0.6,26,2023,8,0.10429447852760734
Total Nacional,"17 Rioja, La","26 Rioja, La",2023-02-01,0.56,26,2023,2,0.09611451942740287
Total Nacional,"17 Rioja, La","26 Rioja, La",2022-08-01,0.58,26,2022,8,0.10020449897750508
Total Nacional,"17 Rioja, La","26 Rioja, La",2022-02-01,0.53,26,2022,2,0.08997955010224948
Total Nacional,"17 Rioja, La","26 Rioja, La",2021-08-01,0.56,26,2021,8,0.09611451942740287
Total Nacional,"17 Rioja, La","26 Rioja, La",2021-02-01,0.53,26,2021,2,0.08997955010224948
Total Nacional,"17 Rioja, La","26 Rioja, La",2020-08-01,0.57,26,2020,8,0.09815950920245398
Total Nacional,18 Ceuta,0,2024-08-01,0.19,0,2024,8,0.020449897750511245
Total Nacional,18 Ceuta,0,2024-02-01,0.14,0,2024,2,0.010224948875255626
Total Nacional,18 Ceuta,0,2023-08-01,0.17,0,2023,8,0.016359918200408996
Total Nacional,18 Ceuta,0,2023-02-01,0.16,0,2023,2,0.014314928425357872
Total Nacional,18 Ceuta,0,2022-08-01,0.19,0,2022,8,0.020449897750511245
Total Nacional,18 Ceuta,0,2022-02-01,0.18,0,2022,2,0.01840490797546012
Total Nacional,18 Ceuta,0,2021-08-01,0.21,0,2021,8,0.024539877300613494
Total Nacional,18 Ceuta,0,2021-02-01,0.18,0,2021,2,0.01840490797546012
Total Nacional,18 Ceuta,0,2020-08-01,0.25,0,2020,8,0.03271983640081799
Total Nacional,18 Ceuta,51 Ceuta,2024-08-01,0.19,51,2024,8,0.020449897750511245
Total Nacional,18 Ceuta,51 Ceuta,2024-02-01,0.14,51,2024,2,0.010224948875255626
Total Nacional,18 Ceuta,51 Ceuta,2023-08-01,0.17,51,2023,8,0.016359918200408996
Total Nacional,18 Ceuta,51 Ceuta,2023-02-01,0.16,51,2023,2,0.014314928425357872
Total Nacional,18 Ceuta,51 Ceuta,2022-08-01,0.19,51,2022,8,0.020449897750511245
Total Nacional,18 Ceuta,51 Ceuta,2022-02-01,0.18,51,2022,2,0.01840490797546012
Total Nacional,18 Ceuta,51 Ceuta,2021-08-01,0.21,51,2021,8,0.024539877300613494
Total Nacional,18 Ceuta,51 Ceuta,2021-02-01,0.18,51,2021,2,0.01840490797546012
Total Nacional,18 Ceuta,51 Ceuta,2020-08-01,0.25,51,2020,8,0.03271983640081799
Total Nacional,19 Melilla,0,2024-08-01,0.19,0,2024,8,0.020449897750511245
Total Nacional,19 Melilla,0,2024-02-01,0.13,0,2024,2,0.008179959100204498
Total Nacional,19 Melilla,0,2023-08-01,0.18,0,2023,8,0.01840490797546012
Total Nacional,19 Melilla,0,2023-02-01,0.21,0,2023,2,0.024539877300613494
Total Nacional,19 Melilla,0,2022-08-01,0.16,0,2022,8,0.014314928425357872
Total Nacional,19 Melilla,0,2022-02-01,0.17,0,2022,2,0.016359918200408996
Total Nacional,19 Melilla,0,2021-08-01,0.18,0,2021,8,0.01840490797546012
Total Nacional,19 Melilla,0,2021-02-01,0.16,0,2021,2,0.014314928425357872
Total Nacional,19 Melilla,0,2020-08-01,0.16,0,2020,8,0.014314928425357872
Total Nacional,19 Melilla,52 Melilla,2024-08-01,0.19,52,2024,8,0.020449897750511245
Total Nacional,19 Melilla,52 Melilla,2024-02-01,0.13,52,2024,2,0.008179959100204498
Total Nacional,19 Melilla,52 Melilla,2023-08-01,0.18,52,2023,8,0.01840490797546012
Total Nacional,19 Melilla,52 Melilla,2023-02-01,0.21,52,2023,2,0.024539877300613494
Total Nacional,19 Melilla,52 Melilla,2022-08-01,0.16,52,2022,8,0.014314928425357872
Total Nacional,19 Melilla,52 Melilla,2022-02-01,0.17,52,2022,2,0.016359918200408996
Total Nacional,19 Melilla,52 Melilla,2021-08-01,0.18,52,2021,8,0.01840490797546012
Total Nacional,19 Melilla,52 Melilla,2021-02-01,0.16,52,2021,2,0.014314928425357872
Total Nacional,19 Melilla,52 Melilla,2020-08-01,0.16,52,2020,8,0.014314928425357872
